index,gender,dob,commune,created_at,department,education_level,university,current_employed,formal_sector_job,have_computer_home,internet_at_home,hear_AA_1,after_AA,quest_id,Commune_en,Commune_Id,Departement,Payment Method
0,male,25/08/1998,HT0111,2021-02-14,NAN,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,905dc006-ce95-11eb-b2f9-7c67a234f601,,,,
1,female,29/09/1996,HT0111,2021-02-16,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,Friend,Finding a job/internship,905ddcf2-ce95-11eb-9a92-7c67a234f601,Port-au-Prince,HT0111,West,
2,male,17/05/1996,HT0111,2021-02-16,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,Friend,Improving my data analysis skills,905e2608-ce95-11eb-809f-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
3,male,24/11/1996,HT0111,2021-02-16,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,905e4cf5-ce95-11eb-96a9-7c67a234f601,Port-au-Prince,HT0111,West,
4,male,20/07/1997,HT0111,2021-02-16,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,WhatsApp,Mentorship,905e73fd-ce95-11eb-a7b0-7c67a234f601,Port-au-Prince,HT0111,West,
5,male,03/12/1996,HT0111,2021-02-16,HT01,Other,unknown,No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,905e9b27-ce95-11eb-9c37-7c67a234f601,Port-au-Prince,HT0111,West,
6,female,30/04/1988,HT0111,2021-02-16,HT01,Masters,Ecole Supérieure d'Infotronique d'Haïti (ESIH),Yes,Yes,Yes,Yes,WhatsApp,Improving my data analysis skills,905ec1ec-ce95-11eb-8136-7c67a234f601,Port-au-Prince,HT0111,West,Credit Card/Paypal
7,female,10/09/1996,HT0111,2021-02-16,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,WhatsApp,Improving my data analysis skills,905ec1ed-ce95-11eb-829c-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
8,female,03/02/1991,HT0111,2021-02-17,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,ESIH,Mentorship,905ef688-ce95-11eb-9b57-7c67a234f601,Port-au-Prince,HT0111,West,
9,female,10/07/1997,HT0111,2021-02-17,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,WhatsApp,Training to start my own company,905f0fbd-ce95-11eb-b153-7c67a234f601,Port-au-Prince,HT0111,West,
10,female,20/11/1994,HT0111,2021-02-17,HT01,Other,unknown,No,unknown,Yes,Yes,Bootcamp Alumni,Training to start my own company,905f0fbe-ce95-11eb-8396-7c67a234f601,Port-au-Prince,HT0111,West,
11,female,30/12/1994,HT0111,2021-02-17,HT01,Other,unknown,Yes,Yes,Yes,Yes,Facebook,Finding a job/internship,905f36c8-ce95-11eb-bef0-7c67a234f601,Port-au-Prince,HT0111,West,
12,male,09/05/1992,HT0111,2021-02-17,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,Friend,Training to start my own company,905f36c9-ce95-11eb-aa33-7c67a234f601,Port-au-Prince,HT0111,West,
13,female,3 aout 1977,HT0111,2021-02-17,HT01,unknown,unknown,Yes,Yes,Yes,Yes,Facebook,Mentorship,905f36ca-ce95-11eb-9411-7c67a234f601,Port-au-Prince,HT0111,West,
14,male,26/03/1992,HT0111,2021-02-17,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),Yes,Yes,Yes,Yes,Facebook,Improving my data analysis skills,905f5dbf-ce95-11eb-a1fb-7c67a234f601,Port-au-Prince,HT0111,West,
15,male,01/11/1994,HT0111,2021-02-17,HT01,Other,unknown,No,unknown,Yes,Yes,WhatsApp,Switching careers,905f5dc0-ce95-11eb-8056-7c67a234f601,Port-au-Prince,HT0111,West,
16,female,19/01/1999,HT0111,2021-02-17,HT01,Other,unknown,No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,905f5dc1-ce95-11eb-bfa7-7c67a234f601,Port-au-Prince,HT0111,West,Credit Card/Paypal
17,male,09/10/1987,HT0111,2021-02-17,HT01,Masters,Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Finding a job/internship,905f84ab-ce95-11eb-8886-7c67a234f601,Port-au-Prince,HT0111,West,
18,female,02/05/1995,HT0111,2021-02-17,HT01,Bachelors (bacc +4),Centre de Techniques de Planification et d'Economie Appliquée (CTPEA),No,unknown,Yes,Yes,Bootcamp Alumni,Improving my data analysis skills,905f84ac-ce95-11eb-bf5f-7c67a234f601,Port-au-Prince,HT0111,West,
19,male,05/02/1992,HT0111,2021-02-17,HT01,Bachelors (bacc +4),Université INUKA,No,unknown,Yes,Yes,LinkedIn,Improving my data analysis skills,905fab9d-ce95-11eb-a1ed-7c67a234f601,Port-au-Prince,HT0111,West,
20,female,21/09/1995,HT0111,2021-02-18,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,Ayiti Analytics Website,Switching careers,905fab9e-ce95-11eb-a53d-7c67a234f601,Port-au-Prince,HT0111,West,
21,male,20/07/1997,HT0111,2021-02-18,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),Yes,Yes,Yes,Yes,WhatsApp,Finding a job/internship,905fd65b-ce95-11eb-b835-7c67a234f601,Port-au-Prince,HT0111,West,
22,male,05/12/1995,HT0111,2021-02-18,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,WhatsApp,Training to start my own company,905ff97f-ce95-11eb-a994-7c67a234f601,Port-au-Prince,HT0111,West,
23,male,25/12/1993,HT0111,2021-02-19,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,WhatsApp,Improving my data analysis skills,905ff980-ce95-11eb-98b7-7c67a234f601,Port-au-Prince,HT0111,West,
24,female,09/12/1998,HT0111,2021-02-19,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Friend,Training to start my own company,90602078-ce95-11eb-bc1d-7c67a234f601,Port-au-Prince,HT0111,West,
25,male,28/02/2021,HT0111,2021-02-19,HT01,High School (16 years),unknown,Yes,Yes,Yes,Yes,WhatsApp,Mentorship,906036c8-ce95-11eb-8c78-7c67a234f601,Port-au-Prince,HT0111,West,
26,male,26/10/1991,HT0111,2021-02-19,HT01,Bachelors (bacc +4),Université INUKA,No,unknown,Yes,No,WhatsApp,Finding a job/internship,9060477c-ce95-11eb-ace3-7c67a234f601,Port-au-Prince,HT0111,West,Credit Card/Paypal
27,male,27/08/1986,HT0111,2021-02-19,HT01,Other,unknown,Yes,Yes,Yes,Yes,WhatsApp,Switching careers,9060477d-ce95-11eb-ab2e-7c67a234f601,Port-au-Prince,HT0111,West,
28,male,13/02/1977,HT0111,2021-02-21,HT03,Bachelors (bacc +4),other,No,unknown,Yes,Yes,Friend,Finding a job/internship,9060617e-ce95-11eb-bd26-7c67a234f601,,,,
29,male,23/08/1986,HT0111,2021-02-21,HT01,Masters,other,No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,906073cb-ce95-11eb-acb0-7c67a234f601,Port-au-Prince,HT0111,West,
30,male,13/01/1989,HT0111,2021-02-22,HT01,Bachelors (bacc +4),Université INUKA,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,906073cc-ce95-11eb-aac4-7c67a234f601,Port-au-Prince,HT0111,West,
31,female,14/04/2000,HT0111,2021-02-22,HT01,Other,unknown,No,unknown,Yes,No,Friend,Finding a job/internship,90609554-ce95-11eb-a24a-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
32,female,31/12/1998,HT0111,2021-02-22,HT01,Other,unknown,No,unknown,Yes,No,Friend,Finding a job/internship,90609555-ce95-11eb-b61a-7c67a234f601,Port-au-Prince,HT0111,West,
33,female,14/05/1995,HT0111,2021-02-23,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,Bootcamp Alumni,Finding a job/internship,9060c2e6-ce95-11eb-b8b8-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
34,female,04/10/1996,HT0111,2021-02-23,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,WhatsApp,Switching careers,9060cbb2-ce95-11eb-bac1-7c67a234f601,Port-au-Prince,HT0111,West,
35,male,,HT0111,2021-02-23,HT01,Other,unknown,No,unknown,Yes,Yes,WhatsApp,Training to start my own company,9060e347-ce95-11eb-abbb-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
36,female,10/01/1997,HT0111,2021-02-23,HT01,Other,unknown,Yes,Yes,Yes,No,Bootcamp Alumni,Switching careers,90610a3c-ce95-11eb-a50e-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
37,female,22/04/1998,HT0111,2021-02-24,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,LinkedIn,Improving my data analysis skills,90611cd3-ce95-11eb-bebc-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
38,male,26/06/1989,HT0111,2021-02-24,HT01,Bachelors (bacc +4),unknown,No,unknown,Yes,Yes,Friend,Training to start my own company,90611cd4-ce95-11eb-a328-7c67a234f601,Port-au-Prince,HT0111,West,
