gender,dob,Age,commune,created_at,department,education_level,university,current_employed,formal_sector_job,have_computer_home,internet_at_home,hear_AA_1,after_AA,quest_id,Commune_en,Commune_Id,Departement,Study Domain,Payment Method
female,1996-09-29,24.0,HT0111,2021-02-16,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,Friend,Finding a job/internship,905ddcf2-ce95-11eb-9a92-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
male,1996-11-24,24.0,HT0111,2021-02-16,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,905e4cf5-ce95-11eb-96a9-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
male,1996-11-24,24.0,HT0111,2021-02-16,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,905e4cf5-ce95-11eb-96a9-7c67a234f601,Port-au-Prince,HT0111,West,Management,Unpaid
male,1997-07-20,23.0,HT0111,2021-02-16,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,WhatsApp,Mentorship,905e73fd-ce95-11eb-a7b0-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
male,1996-03-12,25.0,HT0111,2021-02-16,HT01,Other,unknown,No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,905e9b27-ce95-11eb-9c37-7c67a234f601,Port-au-Prince,HT0111,West,other,Unpaid
female,1988-04-30,33.0,HT0111,2021-02-16,HT01,Masters,Ecole Supérieure d'Infotronique d'Haïti (ESIH),Yes,Yes,Yes,Yes,WhatsApp,Improving my data analysis skills,905ec1ec-ce95-11eb-8136-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Credit Card/Paypal
female,1996-10-09,24.0,HT0111,2021-02-16,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,WhatsApp,Improving my data analysis skills,905ec1ed-ce95-11eb-829c-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Moncash
female,1991-03-02,30.0,HT0111,2021-02-17,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,ESIH,Mentorship,905ef688-ce95-11eb-9b57-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
female,1997-10-07,23.0,HT0111,2021-02-17,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,WhatsApp,Training to start my own company,905f0fbd-ce95-11eb-b153-7c67a234f601,Port-au-Prince,HT0111,West,Law,Unpaid
female,1994-12-30,26.0,HT0111,2021-02-17,HT01,Other,unknown,Yes,Yes,Yes,Yes,Facebook,Finding a job/internship,905f36c8-ce95-11eb-bef0-7c67a234f601,Port-au-Prince,HT0111,West,Computer Science,Unpaid
